Qin,RECOVERY,CODin,BOD5in,CIin,HARDin,SSin,NH3Nin,LASin,CHROMin,CODout,BOD5out,CIout,HARDout,SSout,NH3Nout,LASout,CHROMout,LEVEL,YEAR,COST
7200,0.7,50,20,3000,300,10,5,0.10 ,0,5,2,100,10,0.5,1,0.01 ,0,2,10,7100000
7200,1,50,20,3000,300,10,5,0.10 ,0,50,20,3000,300,1,5,0.10 ,0,2,10,3300000
7200,0.7,50,20,3000,300,1,5,0.10 ,0,5,2,100,10,0.5,1,0.01 ,0,2,10,3800000
5000,0.67,60,24,6000,500,20,5,1.00 ,0,5,2,200,50,0.5,1,0.08 ,0,3,10,5300000
5250,0.95,60,24,6000,500,20,5,1.00 ,0,60,24,6000,500,1,5,1.00 ,0,3,10,2800000
5000,0.99,60,24,6000,500,20,5,1.00 ,0,60,24,6000,500,5,5,1.00 ,0,2,10,400000
5250,0.95,60,24,6000,500,5,5,1.00 ,0,60,24,6000,500,1,5,1.00 ,0,3,10,2400000
5000,0.67,60,24,6000,500,5,5,1.00 ,0,5,2,200,50,0.5,1,0.08 ,0,3,10,4900000
5000,0.67,60,24,6000,500,1,5,1.00 ,0,5,2,200,50,0.5,1,0.08 ,0,3,10,2500000
600,0.5,150,45,2000,1000,15,10,1.00 ,0,20,6,50,5,0,2,0.13 ,0,2,9,820000
600,0.99,150,45,2000,1000,15,10,1.00 ,0,150,45,2000,1000,5,10,1.00 ,0,2,9,60000
630,0.95,150,45,2000,1000,5,10,1.00 ,0,150,45,2000,1000,0.5,10,1.00 ,0,3,9,240000
600,1,150,45,2000,1000,0.5,10,1.00 ,0,100,30,2000,1000,0.5,5,0.67 ,0,3,9,100000
600,1,100,30,2000,1000,0.5,5,0.67 ,0,100,30,2000,50,0.5,5,0.67 ,0,3,9,150000
600,0.5,100,30,2000,50,0.5,5,0.67 ,0,20,6,50,5,0,2,0.13 ,0,2,9,270000
630,0.95,150,45,2000,1000,15,10,1.00 ,0,150,45,2000,1000,0.5,10,1.00 ,0,3,9,300000
630,0.95,150,45,2000,1000,5,10,1.00 ,0,100,30,2000,1000,0.5,5,0.67 ,0,3,9,340000
600,1,150,45,2000,1000,0.5,10,1.00 ,0,100,30,2000,50,0.5,5,0.67 ,0,3,9,250000
600,1,100,30,2000,1000,0.5,5,0.67 ,0,20,6,50,5,0,2,0.13 ,0,2,9,420000
630,0.95,150,45,2000,1000,15,10,1.00 ,0,100,30,2000,1000,0.5,5,0.67 ,0,3,9,400000
630,0.95,150,45,2000,1000,5,10,1.00 ,0,100,30,2000,50,0.5,5,0.67 ,0,3,9,490000
600,0.5,150,45,2000,1000,0.5,10,1.00 ,0,20,6,50,5,0,2,0.13 ,0,2,9,520000
600,0.95,150,45,2000,1000,15,10,1.00 ,0,100,30,2000,50,0.5,5,0.67 ,0,3,9,550000
600,0.5,150,45,2000,1000,5,10,1.00 ,0,20,6,50,5,0,2,0.13 ,0,2,9,760000
10800,0.7,30,10.5,3000,50,20,0,0.10 ,0,10,3.5,100,10,0,0,0.03 ,0,1,8,18050000
10800,0.99,30,10.5,3000,50,20,0,0.10 ,0,30,10.5,3000,50,10,0,0.10 ,0,2,8,600000
11800,0.9,30,10.5,3000,50,10,0,0.10 ,0,30,10.5,3000,50,1,0,0.10 ,0,1,8,5600000
10800,0.7,30,10.5,3000,50,1,0,0.10 ,0,10,3.5,100,10,0,0,0.03 ,0,1,8,11850000
11800,0.9,30,10.5,3000,50,20,0,0.10 ,0,30,10.5,3000,50,1,0,0.10 ,0,1,8,6200000
11800,0.7,30,10.5,3000,50,10,0,0.10 ,0,10,3.5,100,10,0,0,0.03 ,0,1,8,17450000
1200,0.7,10,3.5,1000,50,5,0,0.00 ,0,2,0.7,30,5,0,0,0.00 ,0,2,8,1350000
1200,0.99,10,3.5,1000,50,5,0,0.00 ,0,10,3.5,1000,50,1,0,0.00 ,0,2,8,200000
1200,0.99,10,3.5,1000,50,1,0,0.00 ,0,5,1.75,1000,50,1,0,0.00 ,0,2,8,250000
1200,0.7,5,1.75,1000,50,1,0,0.00 ,0,2,0.7,30,5,0,0,0.00 ,0,2,8,900000
1200,0.98,10,3.5,1000,50,5,0,0.00 ,0,5,1.75,1000,50,1,0,0.00 ,0,2,8,450000
1200,0.7,10,3.5,1000,50,1,0,0.00 ,0,2,0.7,30,5,0,0,0.00 ,0,2,8,1150000
240,0.7,50,20,2000,50,2,5,0.50 ,0,5,2,30,5,0,1,0.05 ,0,2,8,500000
4800,0.75,50,20,3000,250,2,5,0.50 ,0,5,2,50,30,0,1,0.05 ,0,1,8,4880000
4800,0.99,50,20,3000,250,2,5,0.50 ,0,50,20,3000,250,1,5,0.50 ,0,1,8,670000
4800,0.99,50,20,3000,250,1,5,0.50 ,0,25,10,3000,250,1,5,0.25 ,0,1,8,800000
4800,0.75,25,10,3000,250,1,5,0.25 ,0,5,2,50,30,0,1,0.05 ,0,1,8,3410000
4800,0.98,50,20,3000,250,2,5,0.50 ,0,25,10,3000,250,1,5,0.25 ,0,1,8,1470000
4800,0.75,50,20,3000,250,1,5,0.50 ,0,5,2,50,30,0,1,0.05 ,0,1,8,4210000
240,0.9,5,2,500,10,50,1,0.00 ,0,5,2,500,10,1,1,0.00 ,0,2,8,200000
240,0.99,5,2,500,10,50,1,0.00 ,0,5,2,500,10,20,1,0.00 ,0,2,8,50000
240,0.9,5,2,500,10,20,1,0.00 ,0,5,2,500,10,1,1,0.00 ,0,2,8,150000
1700,0.85,50,20,2000,10,1,5,1.00 ,0,10,4,181,1,0,2,0.20 ,0,2,8,2700000
1700,0.7,50,20,2000,10,1,5,1.00 ,0,5,2,50,1,0,1,0.10 ,0,2,8,1550000
510,0.5,150,60,6600,30,1,15,3.00 ,0,12,4.8,200,1,0,3,0.24 ,0,2,8,1150000
900,0.985,50,15,2000,10,1,10,0.05 ,0,10,3,80,1,0,2,0.01 ,0,1,8,3281000
900,0.99,50,15,2000,10,1,10,0.05 ,0,20,6,2000,10,1,8,0.02 ,0,1,8,225000
900,0.7,20,6,2000,10,1,8,0.02 ,0,10,3,50,1,0,2,0.01 ,0,1,8,1100000
270,0.65,70,21,6600,30,3,25,0.07 ,0,20,6,150,5,0,10,0.02 ,0,1,8,456000
94.5,0.9,180,54,20000,100,10,90,0.18 ,0,90,27,1000,20,0,10,0.09 ,0,1,8,1500000
900,0.7,50,15,2000,10,1,10,0.05 ,0,10,3,50,1,0,2,0.01 ,0,1,8,1325000
900,0.895,20,6,2000,10,1,8,0.02 ,0,10,3,80,1,0,2,0.01 ,0,1,8,1556000
270,0.965,70,21,6600,30,3,25,0.07 ,0,20,6,150,5,0,10,0.02 ,0,1,8,1956000
900,0.895,50,15,2000,10,1,10,0.05 ,0,10,3,80,1,0,2,0.01 ,0,1,8,1781000
900,0.985,20,6,2000,10,1,8,0.02 ,0,10,3,80,1,0,2,0.01 ,0,1,8,3056000
200,0.6375,500,100,20000,1000,5000,20,2.50 ,40,50,10,800,5,0.5,10,0.25 ,0,1,8,2310000
200,1,500,100,20000,1000,5000,20,2.50 ,40,500,100,20000,1000,5,20,2.50 ,30,1,8,700000
200,0.85,500,100,20000,1000,5,20,2.50 ,30,400,80,18000,50,1,18,2.00 ,10,1,8,770000
170,0.75,500,100,18000,50,1,20,2.50 ,10,50,10,800,5,0.5,10,0.25 ,0,1,8,840000
200,0.85,500,100,20000,1000,5000,20,2.50 ,40,400,80,18000,50,1,18,2.00 ,30,1,8,1470000
200,0.6375,500,100,20000,1000,5,18,2.50 ,30,50,10,800,5,0.5,10,0.25 ,0,1,8,1610000
200,0.6375,500,100,20000,1200,8000,40,2.50 ,40,50,10,800,5,0.5,10,0.25 ,0,1,8,2310000
200,1,500,100,20000,1200,8000,40,2.50 ,40,500,100,20000,1200,5,40,2.50 ,30,1,8,770000
200,0.85,500,100,20000,1200,5,40,2.50 ,30,500,100,18000,60,1,36,2.50 ,10,1,8,840000
170,0.75,500,100,18000,60,1,36,2.50 ,10,50,10,800,5,0.5,10,0.25 ,0,1,8,1470000
200,0.85,500,100,20000,1200,8000,40,2.50 ,40,500,100,18000,60,1,36,2.50 ,30,1,8,1610000
200,0.6375,500,100,20000,1200,5,40,2.50 ,30,50,10,800,5,0.5,10,0.25 ,0,1,8,2310000
300,0.6375,400,80,18000,300,5500,20,2.00 ,40,40,8,720,0.75,0,8,0.20 ,0,1,6,3398000
300,1,400,80,18000,300,5500,20,2.00 ,40,400,80,18000,300,5,20,2.00 ,30,1,6,1020000
300,0.85,400,80,18000,300,5,20,2.00 ,30,200,40,18000,80,1,15,1.00 ,10,1,6,1145600
255,0.75,200,40,18000,80,1,15,1.00 ,10,40,8,720,0.75,0,8,0.20 ,0,1,6,1232400
300,0.85,400,80,18000,300,5500,20,2.00 ,40,200,40,18000,80,1,15,1.00 ,30,1,6,2165600
300,0.6375,200,40,18000,300,5,20,1.00 ,30,40,8,720,0.75,0,8,0.20 ,0,1,6,2378000
