Qin,RECOVERY,CODin,CIin,HARDin,SSin,NH3Nin,CODout,CIout,HARDout,SSout,NH3Nout,LEVEL,YEAR,COST,p1
7200,1,50,3000,300,10,5,50,3000,300,1,5,2,10,3300000,5
7200,0.7,50,3000,300,1,5,5,100,10,0.5,1,2,10,3800000,9
5000,0.99,60,6000,500,20,5,60,6000,500,5,5,2,10,400000,4
5250,0.95,60,6000,500,5,5,60,6000,500,1,5,3,10,2400000,6
5000,0.67,60,6000,500,1,5,5,200,50,0.5,1,3,10,2500000,9
600,0.99,150,2000,1000,15,10,150,2000,1000,5,10,2,9,60000,4
630,0.95,150,2000,1000,5,10,150,2000,1000,0.5,10,3,9,240000,6
600,1,150,2000,1000,0.5,10,100,2000,1000,0.5,5,3,9,100000,2
600,1,100,2000,1000,0.5,5,100,2000,50,0.5,5,3,9,150000,3
600,0.5,100,2000,50,0.5,5,20,50,5,0,2,2,9,270000,9
10800,0.99,30,3000,50,20,0,30,3000,50,10,0,2,8,600000,1
11800,0.9,30,3000,50,10,0,30,3000,50,1,0,1,8,5600000,6
10800,0.7,30,3000,50,1,0,10,100,10,0,0,1,8,11850000,9
1200,0.99,10,1000,50,5,0,10,1000,50,1,0,2,8,200000,1
1200,0.99,10,1000,50,1,0,5,1000,50,1,0,2,8,250000,2
1200,0.7,5,1000,50,1,0,2,30,5,0,0,2,8,900000,9
240,0.7,50,2000,50,2,5,5,30,5,0,1,2,8,500000,9
4800,0.99,50,3000,250,2,5,50,3000,250,1,5,1,8,670000,1
4800,0.99,50,3000,250,1,5,25,3000,250,1,5,1,8,800000,2
4800,0.75,25,3000,250,1,5,5,50,30,0,1,1,8,3410000,9
240,0.99,5,500,10,50,1,5,500,10,20,1,2,8,50000,1
240,0.9,5,500,10,20,1,5,500,10,1,1,2,8,150000,6
1700,0.7,50,2000,10,1,5,5,50,1,0,1,2,8,1550000,9
510,0.5,150,6600,30,1,15,12,200,1,0,3,2,8,1150000,9
900,0.99,50,2000,10,1,10,20,2000,10,1,8,1,8,225000,2
900,0.7,20,2000,10,1,8,10,50,1,0,2,1,8,1100000,9
270,0.65,70,6600,30,3,25,20,150,5,0,10,1,8,456000,9
94.5,0.9,180,20000,100,10,90,90,1000,20,0,10,1,8,1500000,12
200,1,500,20000,1000,5000,20,500,20000,1000,5,20,1,8,700000,7
200,0.85,500,20000,1000,5,20,400,18000,50,1,18,1,8,770000,11
170,0.75,500,18000,50,1,20,50,800,5,0.5,10,1,8,840000,9
200,1,500,20000,1200,8000,40,500,20000,1200,5,40,1,8,770000,7
200,0.85,500,20000,1200,5,40,500,18000,60,1,36,1,8,840000,11
170,0.75,500,18000,60,1,36,50,800,5,0.5,10,1,8,1470000,9
300,1,400,18000,300,5500,20,400,18000,300,5,20,1,6,1020000,7
300,0.85,400,18000,300,5,20,200,18000,80,1,15,1,6,1145600,11
255,0.75,200,18000,80,1,15,40,720,0.75,0,8,1,6,1232400,9
50,1,450,21000,350,5000,20,450,21000,350,10,20,2,7,455000,7
50,0.85,450,21000,350,10,20,250,17000,35,1,10,2,7,522300,11
42.5,0.75,250,17000,35,1,10,45,840,0.875,0,5,2,7,555700,9
150,1,400,18000,1000,5500,30,400,18000,1000,5,30,3,7,346000,7
150,0.85,400,18000,1000,5,30,300,12000,50,1,20,3,7,552000,11
127.5,0.75,300,12000,50,1,20,40,720,5,0,10,3,7,571000,9
800,0.75,400,20000,100,5,20,40,1000,10,0,2,1,6,2800000,9
200,0.75,1600,80000,400,20,80,100,3000,10,0,5,1,6,9250000,16
50,1,6400,320000,1600,80,320,400,5000,100,0,50,1,6,1570000,14
2200,0.99,10,500,50,5,0,10,500,50,1,0,2,6,321000,1
2200,0.99,10,500,50,1,0,2,500,50,0.5,0,2,6,381200,2
2200,0.75,2,500,50,0.5,0,1,20,2,0,0,2,6,3569800,9
20,0.99,5,400,100,5,1,5,400,100,1,1,3,6,7100,1
20,0.99,5,400,100,1,1,2,400,100,0.5,0,3,6,9300,2
20,0.75,2,400,100,0.5,0,1,15,5,0,0,3,6,133600,10
480,0.99,45,2500,800,10,0.5,45,2500,800,5,0.5,3,6,42000,1
528,0.9,45,2500,800,5,0.5,40,2500,800,0.5,0.5,3,6,230000,6
480,0.99,40,2500,800,0.5,0.5,20,2500,800,0.1,0.5,3,6,52000,2
480,0.99,20,2500,800,0.1,0.5,20,2500,10,0.1,0.5,3,6,65200,3
480,0.65,20,2500,10,0.1,0.5,5,100,1,0,0.1,2,6,345700,9
2640,1,50,3500,1000,100,3,45,3500,200,15,3,3,6,120000,17
2640,0.99,45,3500,200,15,3,45,3500,200,2,3,3,6,382000,1
2640,0.99,45,3500,200,2,3,30,3500,200,1,1.5,3,6,452000,2
2640,0.9,30,3500,200,1,1.5,25,3500,200,0.1,1.5,3,6,1132000,6
2400,0.75,25,3500,200,0.1,1.5,5,100,10,0,1,3,6,1864000,9
3400,0.99,50,3200,100,2,1,50,3200,100,0.5,1,1,6,423000,1
3400,0.99,50,3200,100,0.5,1,40,3200,100,0.2,1,1,6,480000,2
3400,0.5,40,3200,100,0.2,1,5,80,4,0,0,1,6,2742000,9
1700,0.5,80,6400,200,0.4,2,8,150,6,0,0.1,1,6,1127000,9
33,1,140000,20000,10,3000,500,140000,20000,2,20,450,1,3,1370000,17
33,1,140000,20000,2,20,450,200,2000,1,2,20,1,3,4800000,15
33,0.9,200,2000,1,2,20,180,2000,1,0.1,20,1,3,2420000,6
30,0.72,180,2000,1,0.1,20,50,100,1,0,1,1,3,3064867,9
1370,0.9,60,2000,450,20,10,50,2000,450,1,10,1,5,723000,6
1250,0.99,50,2000,450,1,10,50,2000,450,0.1,10,1,5,183000,2
1250,0.66,50,2000,450,0.1,10,10,50,30,0.1,4,1,5,1444000,9
2400,0.65,50,2000,350,1,5,5,50,30,0.1,1,1,6,3600000,9
1848,0.99,50,2000,350,1,5,50,2000,350,0.1,5,1,6,420298,2
1848,0.67,50,2000,350,0.1,5,5,50,30,0,1,1,6,2199702,9
1848,0.99,50,2000,350,1,5,50,2000,350,0.1,5,1,6,420298,2
1848,0.67,50,2000,350,0.1,5,5,50,30,0,1,1,6,2065702,9
1100,0.67,50,2500,350,0.1,5,5,50,30,0,1,1,8,960000,9
3600,0.67,50,2500,350,0.1,5,5,50,30,0,1,1,4,4700000,9
3200,0.99,5,400,300,2,1,5,400,300,0.1,1,1,6,423000,1
3200,0.99,5,400,300,0.1,1,2,400,300,0.1,0.5,1,6,520000,2
3200,0.75,2,400,300,0.1,0.5,1,15,15,0,0.1,1,6,2577000,9
200,1,50,2000,30,15000,1,50,2000,30,5000,1,3,6,50000,17
200,1,50,2000,30,5000,1,50,2000,30,1,1,1,6,832900,8
200,1,50,2000,30,1,1,5,50,5,0.1,0.1,2,6,377100,9
200,1,50,2000,160,15000,1,50,2000,160,5000,1,3,6,50000,17
200,1,50,2000,160,5000,1,50,2000,160,1,1,1,6,832900,8
200,1,50,2000,160,1,1,5,50,10,0.1,0.1,2,6,377100,9
990,0.9,50,4000,180,10,1,40,4000,180,1,1,3,6,652000,6
900,0.7,40,4000,180,1,1,50,120,45,0.1,0.2,2,6,1277000,9
7935,0.9,50,4500,750,10,2,50,4500,750,0.1,1,1,6,3390000,6
7235,0.99,50,4500,750,0.1,2,50,4500,10,0.1,1,1,6,2130000,3
7235,0.7,50,4500,10,0.1,1,5,150,5,0,0.5,1,6,4024000,9
72,0.99,5,400,100,5,0.1,5,400,100,1,0.1,3,6,30000,1
72,0.99,5,400,100,1,0.1,4,400,100,0.5,0,3,6,35000,2
81,0.67,4,400,100,0.5,0,1,15,8,0,0,1,6,105000,9
48,0.8,1,15,8,0,0,0,4,0.5,0,0,1,6,87100,10
1800,0.99,40,2000,200,5,2,40,2000,200,1,2,2,4,324000,1
1800,0.99,40,2000,200,1,2,20,2000,200,0.5,1,2,4,355000,2
1980,0.9,20,2000,200,0.5,1,18,2000,200,0.1,1,1,4,1042000,6
1800,0.67,18,2000,200,0.1,1,5,60,10,0,0.5,1,4,1629000,9
5000,1,5,500,200,1000,1,4,500,200,10,1,3,6,230000,17
5000,0.99,4,500,200,10,1,4,500,200,3,0.6,2,6,420000,4
5250,0.95,4,500,200,3,0.6,3,500,200,0.1,0.6,3,6,2400000,6
5000,0.75,3,500,200,0.1,0.6,1,25,10,0,0.1,2,6,3300000,9
2000,0.99,10,1500,650,50,1,10,1500,650,5,1,1,6,239200,4
2200,0.9,10,1500,650,5,1,10,1500,650,0.1,1,3,6,620000,6
2000,0.99,10,1500,650,0.1,1,10,1500,10,0.1,1,3,6,575000,3
2000,0.75,10,1500,10,0.1,1,1,40,1,0,0.1,2,6,1815800,9
120,1,400,18000,1200,5500,20,400,18000,1200,2,20,1,6,620000,7
120,0.85,400,18000,1200,2,20,300,12000,80,0.1,15,1,6,700000,11
96,0.99,30,3000,50,5,0.5,30,3000,50,1,0.5,3,8,6500,1
96,0.99,30,3000,50,1,0.5,20,3000,50,0.1,0.2,3,8,8500,2
96,0.75,20,3000,50,0.1,0.2,3,100,3,0,0,2,8,124500,9
24,0.5,80,12000,200,0.4,0.8,10,500,8,0,0,2,8,75300,9
12,1,160,24000,400,0.8,1.6,20,1000,5,0,0.5,3,8,667200,15
2112,0.95,30,3000,50,300,0.5,30,3000,50,5,0.5,3,6,1603000,6
240,0.99,45,3800,1400,2,1,45,3800,1400,0.2,1,3,6,55200,2
240,0.99,45,3800,1400,0.2,1,45,3800,50,0.2,1,3,6,72000,3
240,0.7,45,3800,50,0.2,1,15,120,5,0,0.1,2,6,201100,9
960,0.99,45,3400,1400,2,1,45,3400,1400,0.2,1,3,6,172000,2
960,0.99,45,3800,1400,0.2,1,45,3400,50,0.2,1,3,6,265000,3
960,0.7,45,3800,50,0.2,1,15,110,5,0,0.1,3,6,641000,9
520,1,20,2200,50,6000,2,20,2200,50,0.5,2,1,6,750600,8
520,0.7,20,2200,50,0.5,2,5,75,5,0.1,1,1,6,383500,9
792,1,20,3200,50,5000,2,20,3200,50,0.5,2,1,6,923000,8
792,0.7,20,3200,50,0.5,2,5,120,5,0.1,1,1,6,497000,9
2640,1,10,4500,2400,100,1,10,3800,120,10,1,1,6,335965,17
2640,0.99,10,3800,120,10,1,10,3800,120,1,1,1,6,275800,1
2640,0.99,10,3800,120,1,1,8,3800,120,0.5,0.5,1,6,425000,2
2640,0.9,8,3800,120,0.5,0.5,6,3800,120,0.1,0.5,1,6,1299000,6
2400,0.65,6,3800,120,0.1,0.5,2,130,20,0,0.1,1,6,1514705,9
330,1,10,1600,20,8000,1,10,1600,20,40,1,1,6,100000,15
330,0.9,10,1600,20,40,1,8,1600,12,1,1,1,6,300000,6
1440,0.5,100,12000,400,0.1,5,20,450,75,0,1,2,6,1244000,9
2750,0.99,35,1500,10,10,1,35,1500,10,1,1,3,6,272300,1
2750,0.9,35,1500,10,1,1,30,1500,10,0.1,1,2,6,853400,6
2500,0.65,30,1500,10,0.1,1,3,45,1,0,0.1,2,6,1142300,9
875,0.5,85,4285,28,0.3,2.8,8,150,3,0,0.5,2,6,364500,9
437.5,0.4,170,8570,56,0.6,5.6,30,220,5,0,1,2,6,225300,9
262.5,1,283,14285,95,1,9,50,400,10,0.1,3,2,6,15250000,15
55,1,35,2500,20,10,1,35,2500,20,2,1,2,5,157245,17
55,0.9,35,2500,20,2,1,35,2500,20,0.5,1,3,5,252300,6
72,0.67,35,2500,20,0.5,1,10,100,2,0,0.2,1,5,524500,9
24,0.5,105,7500,60,1.5,3,20,200,4,0,0.5,1,5,183000,9
12,1,210,15000,120,3,6,30,200,10,0,2,2,5,1578400,15
82,0.73,15,150,3,0,0.3,3,10,1,0,0.1,1,5,345000,10
60,0.83,3,10,1,0,0.1,1,3,0.5,0,0,1,5,244000,10
800,0.75,400,20000,100,5,20,40,1000,10,0,2,1,5,2800000,9
200,0.75,1600,80000,400,20,80,100,3000,10,0,5,1,5,3450000,13
